Author ID,Author Category,Author,Article Count
1,103,Jesse Johnson,984
2,103,Jon Herskovitz,60
3,103,Gabriel Dominguez,147
4,103,Iain Marlow,75
5,103,Philip J. Heijmans,51
6,103,Yimou Lee,42
7,103,Ben Blanchard,75
8,103,David Brunnstrom,36
9,103,James Pomfret,48
10,103,Patpicha Tanakasempipat,34
11,103,Ju-min Park,47
12,103,Josh Smith,59
13,103,Greg Torode,50
14,103,Hyonhee Shin,66
15,103,Choe Sang-Hun,35
16,103,Rina Chandran,35
17,103,Chris Buckley,44
18,103,James Pearson,44
19,103,Sangmi Cha,36
20,103,Alyssa Chen,39
21,103,Kari Lindberg,45
22,103,Jeong-Ho Lee,50
